created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Nov 08 17:21:40 +0000 2023,1722303384676659425,"🇵🇸🇮🇱 Conflict Update  Kekalahan demi Kekalahan dialami oleh #Israel   #Hamas memperlihatkan rekaman terbaru penghancuran kendaraan lapis baja #IsraHell di daerah perkotaan #Gaza, #Palestine.  Allahu Akbar!!  #FreePalestine #ConflictUpdate https://t.co/4f0ncskfyV",3,13,189,497,in,113764464,1722303384676659425,Avolanza,https://twitter.com/Avolanza/status/1722303384676659425,
Wed Nov 08 17:09:16 +0000 2023,1722300262428082677,PT ❤️ HAMAS,0,8,25,229,in,41280003,1722300262428082677,RafaelFontana,https://twitter.com/RafaelFontana/status/1722300262428082677,
Wed Nov 08 17:04:56 +0000 2023,1722299174618800460,"Peperangan di atas tanah juga tak kalah mengerikannya. Hamas banyak membangun tempat-tempat pertahanan dan sniper di antara reruntuhan, yang siap menyerang tank dan tentara Israel kapan saja. Israel benar-benar dihadapkan dengan perang di Stalingrad"" versi modern. https://t.co/fqWfMH5Jti""",1,1,58,569,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299174618800460,
Wed Nov 08 17:04:55 +0000 2023,1722299171494056261,"Diperkirakan Hamas telah membuat terowongan yang lebih canggih dan ekstensif ketimbang pada tahun 2014 sehingga perang ini tak hanya memakan waktu lama, tetapi membawa bayaran psikologis bagi tentara Israel.",0,1,35,424,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299171494056261,
Wed Nov 08 17:04:55 +0000 2023,1722299168771965001,Terlebih saat ini Hamas memasukkan para sandera ke terowongan mereka. Alhasil Israel tidak bisa begitu saja membom terowongan dan harus memastikan bahwa terowongan itu benar-benar sudah steril.,1,4,28,379,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299168771965001,
Wed Nov 08 17:04:54 +0000 2023,1722299165517238475,"Kepanikan dalam kegelapan dan sempitnya terowongan membawa penderitaan psikologis tersendiri bagi tentara Israel, di sisi lain Hamas tahu betul di bagian mana mesti mencegat dan melancarkan pembantaian"" terhadap IDF yang sedang mencari mereka. https://t.co/278FPlMWej""",5,1,41,477,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299165517238475,
Wed Nov 08 17:04:53 +0000 2023,1722299161197047940,"Israel mengalaminya pada tahun 2014. Pada saat itu tentara Israel sedang getol-getolnya mencari terowongan Hamas, masuk ke dalamnya, dan meletakkan bom untuk kemudian terowongan itu dihancurkan. Tak jarang saat masuk ke terowongan gelap itu tentara Israel ditembaki tiba-tiba. https://t.co/gXLugwqTAe",2,2,44,378,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299161197047940,
Wed Nov 08 17:04:52 +0000 2023,1722299157501849659,"Berperang melawan Hamas di terowongan adalah mimpi buruk yang terulang bagi pasukan Israel, salah satu pasukan Israel pernah mengatakan bahwa memerangi Hamas seperti berperang dengan hantu, Mereka dapat melihatmu, tapi kamu tak dapat melihat mereka."" https://t.co/5CzBO3pOGB""",20,2,94,714,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299157501849659,
Wed Nov 08 17:04:51 +0000 2023,1722299154045792529,"Kota Gaza sendiri bukanlah wilayah yang luas, dalam menaklukan wilayah sekecil itu, menteri pertahanan Israel menyatakan bahwa perang ini akan memakan waktu lama, mungkin berbulan-bulan. Hal ini disebabkan tentara Hamas yang memiliki mobilitas tinggi dan bergerilya di terowongan. https://t.co/gy9CR7RhAh",4,1,37,490,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299154045792529,
Wed Nov 08 17:04:49 +0000 2023,1722299143799124373,"Invasi ke Gaza merupakan pembalasan Israel terhadap serangan Hamas 3 minggu sebelumnya. Serangan Hamas 7 Oktober disebut-sebut sebagai 9/11 versi Israel dan benar-benar mengguncang negara tersebut. Netanyahu bersumpah"" takkan menghentikan perang sebelum para sandera dilepaskan. https://t.co/exi5I7b5QJ""",17,3,29,298,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299143799124373,
Wed Nov 08 17:04:48 +0000 2023,1722299140284309899,"Pada tanggal 27 Oktober 2023, Israel menginvasi Jalur Gaza dengan misi menumpas Hamas sampai ke akar-akarnya. Perang ini membawa risiko yang sangat besar dan dapat menjadi mimpi buruk bagi tentara Israel. Kok bisa? (A thread) https://t.co/oV71NPd2QV",29,37,2367,10209,in,59980041,1722299140284309899,Greschinov,https://twitter.com/Greschinov/status/1722299140284309899,
Wed Nov 08 16:57:58 +0000 2023,1722297419415826635,"@tanyakanrl Loh ini sekarang akhirnya ngungsi? Udah dibiarin sama hamas? Kalo mereka keluar gaza, gaza pasti diratain trus dicaplok israel, mereka gabisa balik gaza lagi🥲 Tapi kalo tetep di sana juga dibom terus🥲",3,40,61,3754,in,1408120395694166021,1722297065026535487,aryuno_,https://twitter.com/aryuno_/status/1722297419415826635,tanyakanrl
Wed Nov 08 16:43:06 +0000 2023,1722293680957264206,Waziri wa mambo ya nje wa Israel aambia bunge la EU kuwa vita dhidi ya Hamas ni 'vita vya ulimwengu huru' na Vita haijaanza rasmi maana Ni maandalizi tu ya Vita https://t.co/VgtknVVrAN,0,19,21,374,in,1363848043540459524,1722293680957264206,AbroadTanzania,https://twitter.com/AbroadTanzania/status/1722293680957264206,
Wed Nov 08 16:12:37 +0000 2023,1722286009495208397,@lisanandy Condemn hamas,1,8,3,132,in,1678352101422841858,1722281162242957427,Europe_not_eu,https://twitter.com/Europe_not_eu/status/1722286009495208397,lisanandy
Wed Nov 08 16:09:30 +0000 2023,1722285222614687870,Pejuang Hamas menyerang tentera Israel......tentera Israel menyerang orang awam.......  Tapi Hamas pula dilabel pengganas.......,5,6,483,385,in,289976069,1722285222614687870,mynewshub,https://twitter.com/mynewshub/status/1722285222614687870,
Wed Nov 08 16:05:48 +0000 2023,1722284293106384942,"18+   Shunaqa konchenniy munofiq toifa bor. Isroilni xunrezliklari haqida sukut qilib, tinmasdan hamas, arablarni yomonlab ular  haqida gapiradi. Yana, «man isroilni taraf emasman» deb qo’yadi. Durex sifatli bo’lganda edi, sandaka no’xotmiyalar kamroq bo’lardi.",5,15,4,172,in,455573118,1722284293106384942,rastashep,https://twitter.com/rastashep/status/1722284293106384942,
Wed Nov 08 15:38:05 +0000 2023,1722277318977306937,#ISRAEL mengklaim #Hamas  MENGHANCURKAN ratusan mobil ini di Nova Music Festival.  🚨🇮🇱 Faktanya  Hamas dipersenjatai senapan dan paragliding.  Mereka tidak melakukan ini — ISRAEL MELAKUKANNYA! @jacksonhinklle  #Zionis ingin mencuri simpati dunia tapi gagal! https://t.co/Jttsuw5TuU,9,18,603,545,in,65991060,1722277318977306937,hidcom,https://twitter.com/hidcom/status/1722277318977306937,jacksonhinklle
Wed Nov 08 15:27:33 +0000 2023,1722274666809811029,Israel inavyoharibu  ma handaki ya Hamas ! Mpaka sasa wameharibu handaki 130 Mpaka mchana wa leo https://t.co/nRBtgPlRb8,1,17,49,335,in,1363848043540459524,1722274666809811029,AbroadTanzania,https://twitter.com/AbroadTanzania/status/1722274666809811029,
Wed Nov 08 15:22:06 +0000 2023,1722273293510807991,"🇮🇱 🇵🇸 Dilaporkan Hamas telah memberikan tiket terusan kepada seorang kolonel Israel untuk menghadap malaikat Izrail. kolonel tersebut di kabarkan anggota unit Shaldag, menunggu klarifikasi IDF.",2,25,172,991,in,497234852,1722273293510807991,yo2thok,https://twitter.com/yo2thok/status/1722273293510807991,
Wed Nov 08 15:10:44 +0000 2023,1722270435906371830,Kelompok Pejuang Palestina Hamas = Pejuang Kemerdekaan Indonesia  #FreePalestine #OpIsrael #BDS #IsraeliTerrorists #IsraeliCrimes #Palestine #FreeGaza #FreePalestineNow #GenocideinGaza https://t.co/e9ghbIutsx,5,9,375,580,in,1476693997,1722270435906371830,MCAOps,https://twitter.com/MCAOps/status/1722270435906371830,
